id.exposure	id.outcome	outcome	exposure	method	nsnp	b	se	pval	originalname.outcome	metabolite	raw.label	class	subclass	label	label.no.units	derived_features	sex	lower_ci	upper_ci
0akhTJ	met-c-838	Acetoacetate || id:met-c-838	WHR	MR Egger	70	0.361271806821599	0.252430408330208	0.156960324505279	Acetoacetate	acace	Acetoacetate (mmol/l)	Ketone bodies	Ketone bodies	Acetoacetate (mmol/l)	Acetoacetate	no	Male	-0.133491793505609	0.856035407148807
0akhTJ	met-c-838	Acetoacetate || id:met-c-838	WHR	Weighted median	70	0.140972654216392	0.0937121487268992	0.132500105045307	Acetoacetate	acace	Acetoacetate (mmol/l)	Ketone bodies	Ketone bodies	Acetoacetate (mmol/l)	Acetoacetate	no	Male	-0.0427031572883304	0.324648465721114
0akhTJ	met-c-838	Acetoacetate || id:met-c-838	WHR	Inverse variance weighted (multiplicative random effects)	70	0.164017300826671	0.0642051545304289	0.0106315533361585	Acetoacetate	acace	Acetoacetate (mmol/l)	Ketone bodies	Ketone bodies	Acetoacetate (mmol/l)	Acetoacetate	no	Male	0.0381751979470304	0.289859403706312
0akhTJ	met-c-838	Acetoacetate || id:met-c-838	WHR	Weighted mode	70	0.102928038618341	0.162616990594501	0.528860044558122	Acetoacetate	acace	Acetoacetate (mmol/l)	Ketone bodies	Ketone bodies	Acetoacetate (mmol/l)	Acetoacetate	no	Male	-0.215801262946881	0.421657340183563
0akhTJ	met-c-839	Acetate || id:met-c-839	WHR	MR Egger	70	0.0032776034373277	0.225683896231893	0.988455269674198	Acetate	ace	Acetate (mmol/l)	Ketone bodies	Ketone bodies	Acetate (mmol/l)	Acetate	no	Male	-0.439062833177183	0.445618040051838
0akhTJ	met-c-839	Acetate || id:met-c-839	WHR	Weighted median	70	-0.0675881663912904	0.0816605879021955	0.407856389467444	Acetate	ace	Acetate (mmol/l)	Ketone bodies	Ketone bodies	Acetate (mmol/l)	Acetate	no	Male	-0.227642918679594	0.0924665858970128
0akhTJ	met-c-839	Acetate || id:met-c-839	WHR	Inverse variance weighted (multiplicative random effects)	70	0.00627734721314112	0.0571700953481424	0.912567009654047	Acetate	ace	Acetate (mmol/l)	Ketone bodies	Ketone bodies	Acetate (mmol/l)	Acetate	no	Male	-0.105776039669218	0.1183307340955
0akhTJ	met-c-839	Acetate || id:met-c-839	WHR	Weighted mode	70	-0.117055124378468	0.175257271353714	0.506422513900002	Acetate	ace	Acetate (mmol/l)	Ketone bodies	Ketone bodies	Acetate (mmol/l)	Acetate	no	Male	-0.460559376231747	0.226449127474811
0akhTJ	met-c-840	Alanine || id:met-c-840	WHR	MR Egger	70	0.237051922847609	0.2342483631609	0.315140549970853	Alanine	ala	Alanine (mmol/l)	Amino acids	Amino acids	Alanine (mmol/l)	Alanine	no	Male	-0.222074868947755	0.696178714642973
0akhTJ	met-c-840	Alanine || id:met-c-840	WHR	Weighted median	70	0.0726921799294176	0.0889941155824512	0.414031259619096	Alanine	ala	Alanine (mmol/l)	Amino acids	Amino acids	Alanine (mmol/l)	Alanine	no	Male	-0.101736286612187	0.247120646471022
0akhTJ	met-c-840	Alanine || id:met-c-840	WHR	Inverse variance weighted (multiplicative random effects)	70	-0.0404239484425895	0.0600244157482621	0.500655690401401	Alanine	ala	Alanine (mmol/l)	Amino acids	Amino acids	Alanine (mmol/l)	Alanine	no	Male	-0.158071803309183	0.0772239064240042
0akhTJ	met-c-840	Alanine || id:met-c-840	WHR	Weighted mode	70	0.186483022527843	0.158740810914964	0.244127343361532	Alanine	ala	Alanine (mmol/l)	Amino acids	Amino acids	Alanine (mmol/l)	Alanine	no	Male	-0.124648966865486	0.497615011921172
0akhTJ	met-c-841	Albumin || id:met-c-841	WHR	MR Egger	70	-0.204613050820605	0.286675588682887	0.477828023078596	Albumin	alb	Albumin  (signal area)	Fluid balance	Fluid balance	Albumin (signal area)	Albumin	no	Male	-0.766497204639064	0.357271102997854
0akhTJ	met-c-841	Albumin || id:met-c-841	WHR	Weighted median	70	-0.137709563852365	0.102451897891841	0.178903530229562	Albumin	alb	Albumin  (signal area)	Fluid balance	Fluid balance	Albumin (signal area)	Albumin	no	Male	-0.338515283720373	0.0630961560156434
0akhTJ	met-c-841	Albumin || id:met-c-841	WHR	Inverse variance weighted (multiplicative random effects)	70	-0.0655539608784524	0.0727030889458002	0.367233899282099	Albumin	alb	Albumin  (signal area)	Fluid balance	Fluid balance	Albumin (signal area)	Albumin	no	Male	-0.208052015212221	0.076944093455316
0akhTJ	met-c-841	Albumin || id:met-c-841	WHR	Weighted mode	70	-0.12356766928301	0.157596100954918	0.435677668060138	Albumin	alb	Albumin  (signal area)	Fluid balance	Fluid balance	Albumin (signal area)	Albumin	no	Male	-0.432456027154649	0.185320688588629
0akhTJ	met-c-842	Apolipoprotein A-I || id:met-c-842	WHR	MR Egger	70	0.11514420194072	0.298171663399714	0.700578269654715	Apolipoprotein A-I	apoa1	Apolipoprotein A-I (g/l)	Apolipoproteins	Apolipoproteins	Apolipoprotein A-I (g/l)	Apolipoprotein A-I	no	Male	-0.469272258322719	0.699560662204159
0akhTJ	met-c-842	Apolipoprotein A-I || id:met-c-842	WHR	Weighted median	70	-0.00853758018608479	0.0983462235150398	0.930821370678161	Apolipoprotein A-I	apoa1	Apolipoprotein A-I (g/l)	Apolipoproteins	Apolipoproteins	Apolipoprotein A-I (g/l)	Apolipoprotein A-I	no	Male	-0.201296178275563	0.184221017903393
0akhTJ	met-c-842	Apolipoprotein A-I || id:met-c-842	WHR	Inverse variance weighted (multiplicative random effects)	70	-0.0349424088757078	0.0756270922350759	0.64405579180086	Apolipoprotein A-I	apoa1	Apolipoprotein A-I (g/l)	Apolipoproteins	Apolipoproteins	Apolipoprotein A-I (g/l)	Apolipoprotein A-I	no	Male	-0.183171509656457	0.113286691905041
0akhTJ	met-c-842	Apolipoprotein A-I || id:met-c-842	WHR	Weighted mode	70	0.091472424127494	0.19098667273106	0.63349095006341	Apolipoprotein A-I	apoa1	Apolipoprotein A-I (g/l)	Apolipoproteins	Apolipoproteins	Apolipoprotein A-I (g/l)	Apolipoprotein A-I	no	Male	-0.282861454425384	0.465806302680372
0akhTJ	met-c-843	Apolipoprotein B || id:met-c-843	WHR	MR Egger	70	0.502185014096059	0.241201455034194	0.041106944083198	Apolipoprotein B	apob	Apolipoprotein B (g/l)	Apolipoproteins	Apolipoproteins	Apolipoprotein B (g/l)	Apolipoprotein B	no	Male	0.0294301622290388	0.974939865963079
