label	group	subgroup	beta	standard_error	Pvalue	lower_confidence_interval	upper_confidence_interval
QTSHW21422	Group1	Subgroup1	0.023867914	0.027387262	0.413166786	-0.02981111952	0.07754694752
ZCEJI19867	Group1	Subgroup1	-0.103108122	0.026692893	8.95e-05	-0.15542619228	-0.05079005172
KSTHN21737	Group1	Subgroup1	-0.043190764	0.02865241	0.119181055	-0.0993494876	0.0129679596
YKARM56350	Group1	Subgroup1	0.026427463	0.028797254	0.385861266	-0.03001515484	0.08287008084
ZBBQV69243	Group2	Subgroup2	-0.146101988	0.030376235	1.19e-06	-0.2056394086	-0.0865645674
SOCMZ05324	Group2	Subgroup2	0.186654407	0.031570895	4.46e-09	0.1247754528	0.2485333612
LFNSZ69167	Group1	Subgroup3	0.248526461	0.026525248	1.22e-20	0.19653697492	0.30051594708
RDFEK53287	Group1	Subgroup3	0.168984441	0.02656157	2.84e-10	0.1169237638	0.2210451182
JXBSD24309	Group1	Subgroup4	0.229895832	0.026424317	5.38e-18	0.17810417068	0.28168749332
CFGSL00523	Group1	Subgroup4	0.192047593	0.026267396	3.99e-13	0.14056349684	0.24353168916
EXJCU87662	Group1	Subgroup4	0.156491498	0.027054606	1e-08	0.10346447024	0.20951852576
CDPYL19613	Group3	Subgroup5	0.030433379	0.035556032	0.415084989	-0.03925644372	0.10012320172
DFTKB68635	Group3	Subgroup5	0.030949172	0.034683524	0.395129934	-0.03703053504	0.09892887904
EJAPW42093	Group3	Subgroup5	-0.236859523	0.029591371	8.04e-16	-0.29485861016	-0.17886043584
YQNEK83236	Group3	Subgroup5	0.115477433	0.030992957	0.000234199	0.05473123728	0.17622362872
KABVK14948	Group3	Subgroup5	0.047004594	0.030236068	0.131956197	-0.01225809928	0.10626728728
PLNXQ94379	Group11	Subgroup6	0.22953463	0.028940959	3.25e-15	0.17281035036	0.28625890964
PNCPI32001	Group11	Subgroup6	0.210286114	0.029301504	1.03e-12	0.15285516616	0.26771706184
DWHGC32253	Group11	Subgroup6	0.213303389	0.027568389	1.54e-14	0.15926934656	0.26733743144
SUTGC30626	Group11	Subgroup6	0.221942786	0.028892739	2.33e-14	0.16531301756	0.27857255444
VPKBI58827	Group4	Subgroup7	-0.160813917	0.036904922	1.1e-05	-0.23314756412	-0.08848026988
TSBZN79581	Group4	Subgroup7	0.116200293	0.029187436	8.45e-05	0.05899291844	0.17340766756
NRFMZ68852	Group4	Subgroup7	-0.12903985	0.033491999	9.77e-05	-0.19468416804	-0.06339553196
FLGYN45103	Group4	Subgroup7	0.046909508	0.034943152	0.193332254	-0.02157906992	0.11539808592
VWBDR56913	Group4	Subgroup7	-0.064836597	0.034134099	0.05212229	-0.13173943104	0.00206623704
RXASD23084	Group4	Subgroup7	0.062523474	0.035099741	0.081889411	-0.00627201835999999	0.13131896636
WDYJH51020	Group4	Subgroup7	0.037322648	0.034481192	0.298256257	-0.03026048832	0.10490578432
SVFNV31639	Group4	Subgroup7	0.167471519	0.035237809	2.46e-06	0.09840541336	0.23653762464
DPHBN87110	Group4	Subgroup7	0.012904538	0.035153367	0.744671001	-0.05599606132	0.08180513732
VWKFN14783	Group4	Subgroup7	0.181141403	0.035189976	3.29e-07	0.11216905004	0.25011375596
OJLTE18379	Group4	Subgroup7	0.086385534	0.035898686	0.017990589	0.01602410944	0.15674695856
OSLKK96173	Group4	Subgroup7	0.131188469	0.035263437	0.000234195	0.06207213248	0.20030480552
XRWWU87634	Group5	Subgroup8	-0.083589555	0.027696998	0.00213651	-0.13787567108	-0.02930343892
PBBSV75091	Group5	Subgroup8	0.058923529	0.027706516	0.038065185	0.00461875764000001	0.11322830036
YAJJH94236	Group6	Subgroup9	-0.022147267	0.033541132	0.481612708	-0.08788788572	0.04359335172
XFEZL44547	Group6	Subgroup9	0.241274939	0.02996244	1.2e-15	0.1825485566	0.3000013214
BNQQK30559	Group6	Subgroup9	0.073862429	0.033211412	0.029245077	0.00876806147999999	0.13895679652
EWRNE49253	Group6	Subgroup9	-0.005621274	0.033777518	0.834037517	-0.07182520928	0.06058266128
UMHOG67492	Group7	Subgroup10	-0.077023355	0.02623584	0.002777895	-0.1284456014	-0.0256011086
UOTQD62153	Group7	Subgroup10	0.084335831	0.026448366	0.001726487	0.03249703364	0.13617462836
XUEAE67912	Group7	Subgroup10	0.082863478	0.027924185	0.003553426	0.0281320754	0.1375948806
PDDGQ23737	Group7	Subgroup10	0.058820375	0.025554279	0.024780651	0.00873398816	0.10890676184
SACBB37732	Group7	Subgroup10	0.069731035	0.025268539	0.006892834	0.02020469856	0.11925737144
IGXEK18984	Group11	Subgroup11	0.08971582	0.030737419	0.004086414	0.02947047876	0.14996116124
FOPTA41574	Group11	Subgroup11	0.076993823	0.029718844	0.011029956	0.01874488876	0.13524275724
VHZKK16418	Group11	Subgroup11	0.11766899	0.030458666	0.000135945	0.05797000464	0.17736797536
YZDSH14540	Group11	Subgroup11	0.131475669	0.030250405	1.72e-05	0.0721848752	0.1907664628
CSSCK98726	Group11	Subgroup11	0.11361659	0.029730229	0.000161548	0.05534534116	0.17188783884
EEXJE10796	Group11	Subgroup11	0.182924601	0.029686367	9.79e-10	0.12473932168	0.24110988032
KZMJJ36552	Group8	Subgroup12	0.274407118	0.027376855	2.06e-23	0.2207484822	0.3280657538
FNJIX41551	Group9	Subgroup13	0.051523825	0.028824957	0.082394056	-0.00497309072	0.10802074072
QDAIJ61707	Group9	Subgroup13	-0.106553729	0.026012295	3.29e-05	-0.1575378272	-0.0555696308
UHLNO45150	Group9	Subgroup13	-0.001973877	0.025564685	0.893272381	-0.0520806596	0.0481329056
HSKOO43519	Group11	Subgroup14	-0.276695928	0.030062803	2.2e-20	-0.33561902188	-0.21777283412
BYQMV92275	Group11	Subgroup14	-0.271760217	0.031012628	1.25e-18	-0.33254496788	-0.21097546612
JBANW46465	Group11	Subgroup14	-0.290995113	0.029618425	5.4e-23	-0.349047226	-0.232943
ZLREM36774	Group11	Subgroup14	-0.275841652	0.030976615	3.5e-19	-0.3365558174	-0.2151274866
PRFAP72147	Group11	Subgroup14	-0.272622237	0.030953747	8.41e-19	-0.33329158112	-0.21195289288
VXDKY72408	Group11	Subgroup14	-0.271940963	0.031014281	1.19e-18	-0.33272895376	-0.21115297224
UJEYL84820	Group11	Subgroup15	0.096656757	0.030478909	0.001787162	0.03691809536	0.15639541864
JJZTE78524	Group11	Subgroup15	0.082634993	0.030309803	0.007399511	0.02322777912	0.14204220688
CJUGX74291	Group11	Subgroup15	0.117566705	0.031423414	0.000219854	0.05597681356	0.17915659644
LBNXA27394	Group11	Subgroup15	0.12434692	0.03129614	8.61e-05	0.0630064856	0.1856873544
USOIK26005	Group11	Subgroup15	0.109984581	0.030254541	0.00033427	0.05068568064	0.16928348136
EAACY11373	Group11	Subgroup16	0.108145989	0.0314133	0.000682955	0.046575921	0.169716057
EMCKG26384	Group11	Subgroup16	0.219407479	0.028934632	4.98e-14	0.16269560028	0.27611935772
NOYEK28314	Group11	Subgroup16	0.247407569	0.030164585	3.53e-16	0.1882849824	0.3065301556
DKFAN45254	Group11	Subgroup16	0.218919203	0.028255429	1.4e-14	0.16353856216	0.27429984384
OEJLH14869	Group11	Subgroup16	0.253177069	0.029218521	6.99e-18	0.19590876784	0.31044537016
IHHGK77338	Group11	Subgroup16	0.23845436	0.029162165	4.4e-16	0.1812965166	0.2956122034
CXKQJ32241	Group11	Subgroup16	0.235776691	0.028888623	5.01e-16	0.17915498992	0.29239839208
OOURI64872	Group11	Subgroup16	0.24250295	0.028107922	9.84e-18	0.18741142288	0.29759447712
ZHNTO14261	Group10	Subgroup17	-0.253228304	0.02979562	1.26e-17	-0.3116277192	-0.1948288888
FROVX54172	Group10	Subgroup17	-0.042328793	0.028346426	0.122435338	-0.09788778796	0.01323020196
JVPYY22121	Group10	Subgroup17	0.219454642	0.029175086	7.89e-14	0.16227147344	0.27663781056
AGXMM36780	Group11	Subgroup18	-0.153618359	0.028017865	3.12e-08	-0.2085333744	-0.0987033436
JGPUP87829	Group11	Subgroup18	-0.148341136	0.028726988	1.84e-07	-0.20464603248	-0.09203623952
SSKYU84332	Group11	Subgroup18	-0.150163331	0.027859323	5.26e-08	-0.20476760408	-0.09555905792
KZKVO55755	Group11	Subgroup18	-0.103461299	0.027825656	0.000162905	-0.15799958476	-0.04892301324
ZCPFU29943	Group11	Subgroup18	-0.083320251	0.027528854	0.002073194	-0.13727680484	-0.02936369716
DJJRY12851	Group11	Subgroup18	-0.096233402	0.027202349	0.000329144	-0.14955000604	-0.04291679796
JPFZK74646	Group11	Subgroup19	0.110025238	0.030709133	0.00040715	0.04983533732	0.17021513868
AUYWR52114	Group11	Subgroup19	0.116308421	0.031535116	0.000270477	0.05449959364	0.17811724836
WDZEY80453	Group11	Subgroup19	0.128468332	0.031698946	6.15e-05	0.06633839784	0.19059826616
BDDME36441	Group11	Subgroup19	0.132401618	0.031583063	3.38e-05	0.07049881452	0.19430442148
MBVDO44301	Group11	Subgroup19	0.122631992	0.030419936	6.79e-05	0.06300891744	0.18225506656
ZBNUS38030	Group11	Subgroup20	0.217573682	0.029537048	2.54e-13	0.15968106792	0.27546629608
SIEFN78754	Group11	Subgroup20	0.21959562	0.030529755	8.99e-13	0.1597573002	0.2794339398
JIVHP19776	Group11	Subgroup20	0.232259012	0.02906424	2e-15	0.1752931016	0.2892249224
LRVTI72764	Group11	Subgroup20	0.252552949	0.030028647	6.17e-17	0.19369680088	0.31140909712
MVRYG90742	Group11	Subgroup20	0.250870041	0.029936455	7.99e-17	0.1921945892	0.3095454928
UMCZI14493	Group11	Subgroup20	0.236842779	0.029375279	1.12e-15	0.17926723216	0.29441832584
NCQQT80619	Group11	Subgroup20	0.253713996	0.028462999	7.81e-19	0.19792651796	0.30950147404
GESTZ47823	Group12	Subgroup21	-0.133292337	0.036108248	0.000190125	-0.20406450308	-0.06252017092
MWXCK18379	Group12	Subgroup21	0.180939732	0.035379873	3.91e-07	0.11159518092	0.25028428308
ACPTL19032	Group13	Subgroup22	-0.052423346	0.041604719	0.195309997	-0.13396859524	0.02912190324
IOJXQ40641	Group11	Subgroup23	0.048968911	0.027252299	0.081255748	-0.00444559504000001	0.10238341704
EYEZW39728	Group11	Subgroup23	0.05106024	0.026373955	0.059998581	-0.000632711799999998	0.1027531918
BNQDP10452	Group11	Subgroup23	0.216151939	0.028464392	4.61e-14	0.16036173068	0.27194214732
NATOG04617	Group11	Subgroup24	0.128066093	0.030634573	3.58e-05	0.06802232992	0.18810985608
LUQSX37613	Group11	Subgroup24	0.143166121	0.031916043	8.99e-06	0.08061067672	0.20572156528
PFYKL41456	Group11	Subgroup24	0.140903476	0.031818302	1.17e-05	0.07853960408	0.20326734792
