label	beta	pvalue	lower_confidence_interval	upper_confidence_interval	exposure	label_units	class	subclass
Acetoacetate	0.115999824	0.031351343	0.010378117	0.22162153	BMI_European_women	Acetoacetate (mmol/l)	Ketone bodies	Ketone bodies
Acetate	-0.026389134	0.555062986	-0.114026447	0.061248178	BMI_European_women	Acetate (mmol/l)	Ketone bodies	Ketone bodies
Alanine	0.038753821	0.411184207	-0.053673082	0.131180724	BMI_European_women	Alanine (mmol/l)	Amino acids	Amino acids
Albumin	-0.054040603	0.425073148	-0.186830012	0.078748806	BMI_European_women	Albumin (signal area)	Fluid balance	Fluid balance
Apolipoprotein A-I	-0.232190743	0.001857814	-0.378425913	-0.085955573	BMI_European_women	Apolipoprotein A-I (g/l)	Apolipoproteins	Apolipoproteins
Apolipoprotein B	0.11636143	0.098993008	-0.021882352	0.254605212	BMI_European_women	Apolipoprotein B (g/l)	Apolipoproteins	Apolipoproteins
Ratio of bisallylic groups to double bonds	-0.145620625	0.001136597	-0.233324187	-0.057917063	BMI_European_women	Ratio of bisallylic groups to double bonds	Metabolites ratio	Metabolites ratio
Ratio of bisallylic groups to total fatty acids	-0.18304863	0.001593015	-0.296686432	-0.069410827	BMI_European_women	Ratio of bisallylic groups to total fatty acids	Fatty acids	Fatty acids
3-hydroxybutyrate	0.018829193	0.725962879	-0.086463623	0.124122009	BMI_European_women	3-hydroxybutyrate (mmol/l)	Ketone bodies	Ketone bodies
Average number of methylene groups per double bond	0.17869015	0.001670639	0.067267595	0.290112705	BMI_European_women	Average number of methylene groups per double bond	Metabolites ratio	Metabolites ratio
Average number of methylene groups in a fatty acid chain	0.083196518	0.046496358	0.001289587	0.165103448	BMI_European_women	Average number of methylene groups in a fatty acid chain	Fatty acids	Fatty acids
Citrate	-0.00484155	0.92498936	-0.105631305	0.095948206	BMI_European_women	Citrate (mmol/l)	Glycolysis related metabolites	Glycolysis related metabolites
Creatinine	0.031255774	0.602349279	-0.08632266	0.148834208	BMI_European_women	Creatinine (mmol/l)	Fluid balance	Fluid balance
Average number of double bonds in a fatty acid chain	-0.167367129	0.005682092	-0.285982055	-0.048752203	BMI_European_women	Average number of double bonds in a fatty acid chain	Fatty acids	Fatty acids
"22:6, docosahexaenoic acid"	-0.049783155	0.499813952	-0.19438528	0.094818969	BMI_European_women	"22:6, docosahexaenoic acid (mmol/l)"	Fatty acids	Fatty acids
Esterified cholesterol	-0.066803248	0.470644459	-0.248295851	0.114689355	BMI_European_women	Esterified cholesterol (mmol/l)	Cholesterol	Cholesterol
"Estimated description of fatty acid chain length, not actual carbon number"	-0.111587614	0.062667567	-0.229077112	0.005901883	BMI_European_women	"Estimated description of fatty acid chain length, not actual carbon number"	Fatty acids	Fatty acids
Omega-3 fatty acids	-0.020663546	0.775079382	-0.162404083	0.121076991	BMI_European_women	Omega-3 fatty acids (mmol/l)	Fatty acids	Fatty acids
Omega-6 fatty acids	-0.020482241	0.796259682	-0.17596879	0.135004309	BMI_European_women	Omega-6 fatty acids (mmol/l)	Fatty acids	Fatty acids
"Omega-7, omega-9 and saturated fatty acids"	0.077324343	0.209428612	-0.043423888	0.198072574	BMI_European_women	"Omega-7, omega-9 and saturated fatty acids"	Fatty acids	Fatty acids
Free cholesterol	0.014385895	0.865005649	-0.151469447	0.180241238	BMI_European_women	Free cholesterol (mmol/l)	Cholesterol	Cholesterol
Glucose	0.138854741	7.13E-05	0.070336871	0.207372611	BMI_European_women	Glucose (mmol/l)	Glycolysis related metabolites	Glycolysis related metabolites
Glutamine	-0.02667923	0.651518748	-0.142456726	0.089098266	BMI_European_women	Glutamine (mmol/l)	Amino acids	Amino acids
Glycerol	0.151455181	0.003558216	0.049615028	0.253295334	BMI_European_women	Glycerol (mmol/l)	Glycolysis related metabolites	Glycolysis related metabolites
Glycoproteins	0.018562653	0.800423505	-0.125357192	0.162482498	BMI_European_women	Glycoproteins	Protein	Protein
"Glycoprotein acetyls, mainly a1-acid glycoprotein"	0.236712169	0.000462487	0.104213634	0.369210704	BMI_European_women	"Glycoprotein acetyls, mainly a1-acid glycoprotein (mmol/l)"	Inflammation	Inflammation
Total cholesterol in HDL	-0.260724863	0.000130182	-0.394286132	-0.127163594	BMI_European_women	Total cholesterol in HDL (mmol/l)	Cholesterol	Cholesterol
