exposure	label	group1	group2	effect_estimate	lower_ci	upper_ci	pvalue
BMI	Acetoacetate	Ketone bodies	Ketone bodies	0.0229846800221176	-0.0415670229314575	0.0875363829756927	0.485246135276111
BMI	Acetate	Ketone bodies	Ketone bodies	-0.103789243413579	-0.163380828822101	-0.0441976580050567	0.000640905669386465
BMI	Alanine	Amino acids	Amino acids	0.0243297681239244	-0.0360044002571705	0.0846639365050194	0.429311437847285
BMI	Albumin	Fluid balance	Fluid balance	-0.0436056760953804	-0.109178698553928	0.021967346363167	0.192442151440839
BMI	Apolipoprotein A-I	Apolipoproteins	Apolipoproteins	-0.1494384503145	-0.222016216744563	-0.0768606838844368	5.44484633325958e-05
BMI	Apolipoprotein B	Apolipoproteins	Apolipoproteins	0.178124617377233	0.0986334014761751	0.257615833278291	1.12320305864143e-05
BMI	Ratio of bisallylic groups to double bonds	Metabolites ratio	Metabolites ratio	-0.177704181592051	-0.258332017472673	-0.0970763457114287	1.56134949912578e-05
BMI	Ratio of bisallylic groups to total fatty acids	Fatty acids	Fatty acids	-0.212547113095551	-0.29701012330606	-0.128084102885042	8.12894619686849e-07
BMI	3-hydroxybutyrate	Ketone bodies	Ketone bodies	-0.00884995171184936	-0.0696928967978026	0.0519929933741038	0.77557279696572
BMI	Average number of methylene groups per double bond	Metabolites ratio	Metabolites ratio	0.217273702402052	0.13567923403202	0.298868170772084	1.79714190899372e-07
BMI	Average number of methylene groups in a fatty acid chain	Fatty acids	Fatty acids	0.121300695364032	0.0533916760656998	0.189209714662364	0.000463518754579005
BMI	Citrate	Glycolysis related metabolites	Glycolysis related metabolites	-0.0756863748284795	-0.138895366441023	-0.012477383215936	0.0189302444617896
BMI	Creatinine	Fluid balance	Fluid balance	0.0635588923863965	0.00070962295198812	0.126408161820805	0.0474646808216388
BMI	Average number of double bonds in a fatty acid chain	Fatty acids	Fatty acids	-0.172391914884514	-0.2497457615921	-0.0950380681769283	1.25340894754652e-05
BMI	22:6, docosahexaenoic acid	Fatty acids	Fatty acids	-0.0174371781818769	-0.10116161897187	0.0662872626081164	0.683122003751002
BMI	Free cholesterol to esterified cholesterol ratio	Metabolites ratio	Metabolites ratio	0.0604800845462638	-0.0295203718977664	0.150480540990294	0.187800025712958
BMI	Description of average fatty acid chain length, not actual carbon number	Fatty acids	Fatty acids	-0.0725270945623722	-0.152014311141078	0.00696012201633381	0.0737152137755788
BMI	Omega-3 fatty acids	Fatty acids	Fatty acids	0.0287254516053103	-0.0571412200996726	0.114592123310293	0.512023850351919
BMI	Omega-6 fatty acids	Fatty acids	Fatty acids	0.0555635207037926	-0.0314013755919489	0.142528416999534	0.210467434064613
BMI	Omega-7, omega-9 and saturated fatty acids	Fatty acids	Fatty acids	0.178308660827319	0.0978212489552387	0.258796072699399	1.41122605017358e-05
BMI	Free cholesterol	Cholesterol	Cholesterol	0.0514717449766655	-0.0348571201390141	0.137800610092345	0.24256152070266
BMI	Glucose	Glycolysis related metabolites	Glycolysis related metabolites	0.0894473045195912	0.0298138078360651	0.149080801203117	0.0032831463639504
BMI	Glutamine	Amino acids	Amino acids	-0.0898645896848132	-0.153213226279817	-0.0265159530898092	0.00542918551745094
BMI	Glycerol	Glycolysis related metabolites	Glycolysis related metabolites	0.0912545639567453	0.0265413786216878	0.155967749291803	0.00571199836217089
BMI	Glycoproteins	Protein	Protein	-0.0537152511257021	-0.124396163202046	0.0169656609506419	0.136345800017282
BMI	Glycoprotein acetyls	Inflammation	Inflammation	0.268650759770377	0.200948377370311	0.336353142170443	7.39699565223473e-15
BMI	Total cholesterol in HDL	Cholesterol	Cholesterol	-0.227969010715336	-0.298531252151884	-0.157406769278788	2.41578111115589e-10
BMI	Mean diameter for HDL particles	Lipoprotein particle size	Lipoprotein particle size	-0.251241361086964	-0.324094996347204	-0.178387725826724	1.38745543805209e-11
BMI	Histidine	Amino acids	Amino acids	0.00867357389177826	-0.0573636157170545	0.074710763500611	0.796843911325374
BMI	Total cholesterol in IDL	Lipoprotein subclasses	IDL	0.112652980113447	0.0320991329438475	0.193206827283047	0.0061248467113462
BMI	Free cholesterol in IDL	Lipoprotein subclasses	IDL	0.109513816611894	0.0324722030384405	0.186555430185348	0.00533433336800607
BMI	Total lipids in IDL	Lipoprotein subclasses	IDL	0.137609142482163	0.0578228876021767	0.217395397362149	0.000723656762834035
BMI	Concentration of IDL particles	Lipoprotein subclasses	IDL	0.14948901584071	0.0704176636820338	0.228560367999386	0.000210978597562639
BMI	Phospholipids in IDL	Lipoprotein subclasses	IDL	0.141300898791372	0.0644858312507317	0.218115966332012	0.000311661287193272
BMI	Triglycerides in IDL	Lipoprotein subclasses	IDL	0.173670614159047	0.10070428617844	0.246636942139654	3.0848370358746e-06
BMI	Isoleucine	Amino acids	Branched-chain amino acids	0.196354276657671	0.133837026618538	0.258871526696804	7.4618847909021e-10
BMI	Total cholesterol in large HDL	Lipoprotein subclasses	Large HDL	-0.277268942258706	-0.350125964815874	-0.204411919701538	8.71217358818881e-14
BMI	Cholesterol esters in large HDL	Lipoprotein subclasses	Large HDL	-0.271622385346528	-0.346721466950868	-0.196523303742188	1.35052225260731e-12
BMI	Free cholesterol in large HDL	Lipoprotein subclasses	Large HDL	-0.278737520018704	-0.349659563324427	-0.207815476712981	1.32717188827949e-14
BMI	Total lipids in large HDL	Lipoprotein subclasses	Large HDL	-0.263489038834954	-0.337988789269858	-0.18898928840005	4.14686051256757e-12
BMI	Concentration of large HDL particles	Lipoprotein subclasses	Large HDL	-0.257753010348595	-0.332306308724456	-0.183199711972734	1.2328813572131e-11
BMI	Phospholipids in large HDL	Lipoprotein subclasses	Large HDL	-0.249847531993783	-0.324259873963288	-0.175435190024278	4.67567537018845e-11
BMI	Total cholesterol in large LDL	Lipoprotein subclasses	Large LDL	0.109815596091188	0.0279019504524353	0.191729241729941	0.00859825498688931
BMI	Cholesterol esters in large VLDL	Lipoprotein subclasses	Large VLDL	0.11720495023898	0.0328044762095759	0.201605424268384	0.00649262776688129
BMI	Free cholesterol in large LDL	Lipoprotein subclasses	Large LDL	0.105090765139693	0.0232764174422033	0.186905112837183	0.0118148822194372
BMI	Total lipids in large LDL	Lipoprotein subclasses	Large LDL	0.129505521679215	0.0450631681203875	0.213947875238043	0.00264738816989541
BMI	Concentration of large LDL particles	Lipoprotein subclasses	Large LDL	0.134935713667808	0.0509650115633358	0.21890641577228	0.00163494974151746
BMI	Phospholipids in large LDL	Lipoprotein subclasses	Large LDL	0.125780654533716	0.0446739746328994	0.206887334434533	0.00236909817701112
BMI	Total cholesterol in large VLDL	Lipoprotein subclasses	Large VLDL	0.160497250111196	0.0938755702426481	0.227118929979744	2.33760248875322e-06
BMI	Cholesterol esters in large VLDL	Lipoprotein subclasses	Large VLDL	0.188163210715367	0.118225767623703	0.258100653807031	1.34005063487657e-07
BMI	Free cholesterol in large VLDL	Lipoprotein subclasses	Large VLDL	0.161913255616642	0.096363396021084	0.2274631152122	1.28958336304165e-06
BMI	Total lipids in large VLDL	Lipoprotein subclasses	Large VLDL	0.201575843717724	0.133230469664875	0.269921217770573	7.43610084206745e-09
BMI	Concentration of large VLDL particles	Lipoprotein subclasses	Large VLDL	0.192965993392482	0.124353730901678	0.261578255883286	3.54116686055944e-08
BMI	Phospholipids in large VLDL	Lipoprotein subclasses	Large VLDL	0.183018036135967	0.116572395827682	0.249463676444252	6.71521308862923e-08
BMI	Triglycerides in large VLDL	Lipoprotein subclasses	Large VLDL	0.186231969549688	0.120743574294982	0.251720364804394	2.49341491065207e-08
BMI	18:2, linoleic acid	Fatty acids	Fatty acids	0.0307002942849305	-0.0596807879259186	0.12108137649578	0.505561209084656
BMI	Lactate	Glycolysis related metabolites	Glycolysis related metabolites	0.0539599844447649	-0.00310666996529597	0.111026638854826	0.0638395245776377
BMI	Total cholesterol in LDL	Cholesterol	Cholesterol	0.124395479368135	0.0410879973563671	0.207702961379903	0.00342590635712626
BMI	Mean diameter for LDL particles	Lipoprotein particle size	Lipoprotein particle size	0.0183327972076316	-0.0516873233622828	0.088352917777546	0.607831837331862
BMI	Leucine	Amino acids	Branched-chain amino acids	0.149592632554843	0.0879658780161631	0.211219387093523	1.95812006205234e-06
BMI	Total cholesterol in medium HDL	Lipoprotein subclasses	Medium HDL	-0.124540257038384	-0.193332560392928	-0.0557479536838404	0.000387658415709699
BMI	Cholesterol esters in medium HDL	Lipoprotein subclasses	Medium HDL	-0.119885644811712	-0.192131629359522	-0.0476396602639023	0.00114418003801145
BMI	Free cholesterol in medium HDL	Lipoprotein subclasses	Medium HDL	-0.115733006290207	-0.182130978616791	-0.049335033963623	0.000634737108388213
BMI	Total lipids in medium HDL	Lipoprotein subclasses	Medium HDL	-0.0796465410824683	-0.148824946985781	-0.0104681351791551	0.0240337767363643
BMI	Concentration of medium HDL particles	Lipoprotein subclasses	Medium HDL	-0.0627595125480418	-0.130843901150153	0.00532487605406956	0.0708077394206675
BMI	Phospholipids in medium HDL	Lipoprotein subclasses	Medium HDL	-0.0692222165361936	-0.134525612406762	-0.00391882066562567	0.0377445094132794
BMI	Total cholesterol in medium LDL	Lipoprotein subclasses	Medium LDL	0.118448313201964	0.0352061131841332	0.201690513219795	0.00528785217666451
BMI	Cholesterol esters in medium LDL	Lipoprotein subclasses	Medium LDL	0.117389605933963	0.0323176567810071	0.202461555086919	0.00683914398135005
BMI	Total lipids in medium LDL	Lipoprotein subclasses	Medium LDL	0.128873681851011	0.0428951799320257	0.214852183769996	0.00330491002198662
BMI	Concentration of medium LDL particles	Lipoprotein subclasses	Medium LDL	0.133000820871864	0.047456568924515	0.218545072819213	0.00230883691162989
BMI	Phospholipids in medium LDL	Lipoprotein subclasses	Medium LDL	0.128128295273653	0.0463395081241863	0.20991708242312	0.00213709542832138
BMI	Total cholesterol in medium VLDL	Lipoprotein subclasses	Medium VLDL	0.179620942910667	0.109174805400041	0.250067080421293	5.8067757850869e-07
BMI	Cholesterol esters in medium VLDL	Lipoprotein subclasses	Medium VLDL	0.182547328679219	0.10915436645307	0.255940290905368	1.08792885054331e-06
BMI	Free cholesterol in medium VLDL	Lipoprotein subclasses	Medium VLDL	0.190802776523781	0.122089014187223	0.259516538860339	5.25431540368618e-08
BMI	Total lipids in medium VLDL	Lipoprotein subclasses	Medium VLDL	0.20309229936835	0.132056250820686	0.274128347916014	2.09888522585204e-08
BMI	Concentration of medium VLDL particles	Lipoprotein subclasses	Medium VLDL	0.21383855508789	0.143241285571496	0.284435824604284	2.90596227103687e-09
BMI	Phospholipids in medium VLDL	Lipoprotein subclasses	Medium VLDL	0.195463305291778	0.126041752199807	0.264884858383749	3.41758740618924e-08
BMI	Triglycerides in medium VLDL	Lipoprotein subclasses	Medium VLDL	0.197025705471252	0.129748276822577	0.264303134119927	9.46936518044858e-09
BMI	Mono-unsaturated fatty acids	Fatty acids	Fatty acids	0.184226810394921	0.10433851959295	0.264115101196892	6.18781301383145e-06
