exposure	label	group1	group2	effect_estimate	lower_ci	upper_ci	pvalue
BMI	Acetoacetate	Ketone bodies	Ketone bodies	0.0571181540485566	-0.00901560984634405	0.123251917943457	0.0904925453229921
BMI	Acetate	Ketone bodies	Ketone bodies	-0.0840307747638563	-0.151152045992607	-0.0169095035351053	0.0141366449670697
BMI	Alanine	Amino acids	Amino acids	0.0250487997735159	-0.0469371565939845	0.0970347561410163	0.495228187782072
BMI	Albumin	Fluid balance	Fluid balance	-0.0692402225875562	-0.147809791567579	0.00932934639246656	0.0841192372404374
BMI	Apolipoprotein A-I	Apolipoproteins	Apolipoproteins	-0.172762410644982	-0.258091771045147	-0.0874330502448171	7.2380680424749e-05
BMI	Apolipoprotein B	Apolipoproteins	Apolipoproteins	0.158204915703224	0.0569851791227919	0.259424652283656	0.00218800528668884
BMI	Ratio of bisallylic groups to double bonds	Metabolites ratio	Metabolites ratio	-0.20842859353224	-0.297235488085208	-0.119621698979272	4.22300778124607e-06
BMI	Ratio of bisallylic groups to total fatty acids	Fatty acids	Fatty acids	-0.236062216630649	-0.326674567862569	-0.145449865398729	3.2875634995756e-07
BMI	3-hydroxybutyrate	Ketone bodies	Ketone bodies	-0.0180050593831501	-0.0823597485317634	0.0463496297654632	0.583440692863442
BMI	Average number of methylene groups per double bond	Metabolites ratio	Metabolites ratio	0.236209317296519	0.146441910800982	0.325976723792056	2.50345326745472e-07
BMI	Average number of methylene groups in a fatty acid chain	Fatty acids	Fatty acids	0.13150363141671	0.0556732037399323	0.207334059093488	0.000676343667575503
BMI	Citrate	Glycolysis related metabolites	Glycolysis related metabolites	-0.0163096472330801	-0.0849107825324659	0.0522914880663057	0.64122823510964
BMI	Creatinine	Fluid balance	Fluid balance	0.0296970152652111	-0.0437674541092034	0.103161484639626	0.428183781311525
BMI	Average number of double bonds in a fatty acid chain	Fatty acids	Fatty acids	-0.199651392616554	-0.28152677095408	-0.117776014279028	1.75802579600717e-06
BMI	22:6, docosahexaenoic acid	Fatty acids	Fatty acids	-0.0226273209521844	-0.111600385028962	0.0663457431245928	0.618159574284759
BMI	Free cholesterol to esterified cholesterol ratio	Metabolites ratio	Metabolites ratio	0.0172748291821706	-0.0897813199964727	0.124330978360814	0.751797460095633
BMI	Description of average fatty acid chain length, not actual carbon number	Fatty acids	Fatty acids	-0.0776441997132163	-0.159668859817046	0.00438046039061368	0.0635494319531133
BMI	Omega-3 fatty acids	Fatty acids	Fatty acids	-0.0119332592142631	-0.108211786431709	0.0843452680031826	0.808057650031744
BMI	Omega-6 fatty acids	Fatty acids	Fatty acids	0.0198396427959039	-0.0782685500196374	0.117947835611445	0.691842954369526
BMI	Omega-7, omega-9 and saturated fatty acids	Fatty acids	Fatty acids	0.151107597792793	0.0615707074051986	0.240644488180387	0.000940290661631828
BMI	Free cholesterol	Cholesterol	Cholesterol	0.0561608699175218	-0.0399218095807047	0.152243549415748	0.251947826717327
