exposure	label	group1	group2	effect_estimate	lower_ci	upper_ci	pvalue
BMI	Acetoacetate	Ketone bodies	Ketone bodies	0.0583251029804948	-0.0166396611162854	0.133289867077275	0.127272618009441
BMI	Acetate	Ketone bodies	Ketone bodies	-0.0787585635903249	-0.145732139721723	-0.0117849874589267	0.0211726856712869
BMI	Alanine	Amino acids	Amino acids	-0.013750697501228	-0.105000648836584	0.0774992538341284	0.767720715527007
BMI	Albumin	Fluid balance	Fluid balance	-0.0724160794696193	-0.148751656548715	0.00391949760947637	0.0629757617176315
BMI	Apolipoprotein A-I	Apolipoproteins	Apolipoproteins	-0.141966803658075	-0.230481424950195	-0.0534521823659549	0.00166880990326881
BMI	Apolipoprotein B	Apolipoproteins	Apolipoproteins	0.121812100433139	0.0213951715518947	0.222229029314383	0.017425516518315
BMI	Ratio of bisallylic groups to double bonds	Metabolites ratio	Metabolites ratio	-0.095672433151709	-0.187269173624296	-0.00407569267912242	0.0406372493696876
BMI	Ratio of bisallylic groups to total fatty acids	Fatty acids	Fatty acids	-0.150057837753609	-0.248616234300977	-0.0514994412062411	0.00284364282515649
BMI	3-hydroxybutyrate	Ketone bodies	Ketone bodies	-0.0235909974588322	-0.0928436635301047	0.0456616686124404	0.5043403229249
BMI	Average number of methylene groups per double bond	Metabolites ratio	Metabolites ratio	0.153692659564774	0.0616094192325063	0.245775899897042	0.00107030812550101
BMI	Average number of methylene groups in a fatty acid chain	Fatty acids	Fatty acids	0.126748376067271	0.0498360304144432	0.203660721720099	0.00123790552282105
BMI	Citrate	Glycolysis related metabolites	Glycolysis related metabolites	-0.0237487356818012	-0.0931051074119263	0.0456076360483239	0.502134225365693
BMI	Creatinine	Fluid balance	Fluid balance	0.0677301017351685	-0.0048594545105235	0.14031965798086	0.0674311875110586
BMI	Average number of double bonds in a fatty acid chain	Fatty acids	Fatty acids	-0.109697308229071	-0.199388252353489	-0.020006364104653	0.0165211080532077
BMI	22:6, docosahexaenoic acid	Fatty acids	Fatty acids	-0.0486026009525241	-0.148904607730571	0.0516994058255225	0.342243011773232
BMI	Free cholesterol to esterified cholesterol ratio	Metabolites ratio	Metabolites ratio	-0.0132392969587692	-0.131509143836557	0.105030549919019	0.826334402370211
BMI	Description of average fatty acid chain length, not actual carbon number	Fatty acids	Fatty acids	-0.022963324406714	-0.111372656557931	0.0654460077445031	0.610690655672562
BMI	Omega-3 fatty acids	Fatty acids	Fatty acids	-0.035751471838208	-0.14453884002279	0.0730358963463737	0.519493061272437
BMI	Omega-6 fatty acids	Fatty acids	Fatty acids	-0.0163653136382607	-0.123636039232551	0.0909054119560298	0.764925337731005
BMI	Omega-7, omega-9 and saturated fatty acids	Fatty acids	Fatty acids	0.0652316037802783	-0.0451196826143198	0.175582890174876	0.246615784074274
BMI	Free cholesterol	Cholesterol	Cholesterol	-0.0100489680322075	-0.117075194078162	0.0969772580137471	0.85399035296409
BMI	Glucose	Glycolysis related metabolites	Glycolysis related metabolites	0.0555362154187599	-0.0122648903405461	0.123337321178066	0.108395791208362
BMI	Glutamine	Amino acids	Amino acids	-0.0866662418598625	-0.162465867628973	-0.0108666160907518	0.0250270383711413
BMI	Glycerol	Glycolysis related metabolites	Glycolysis related metabolites	0.0782527676696286	-0.00179702569554355	0.158302561034801	0.0553650630220259
BMI	Glycoproteins	Protein	Protein	-0.104483021546365	-0.177693897658997	-0.0312721454337331	0.00515448684498983
BMI	Glycoprotein acetyls	Inflammation	Inflammation	0.183477846648275	0.0900858516117013	0.276869841684849	0.000117821783380462
